Script: Ckl_RelatorioDesvios_New
Data de execução: 2024-10-01
Hora de inicio: 13-08-07
========================================
Executando "Ckl_RelatorioDesvios_New"...
========================================

Conexão ao MySQL estabelecida com sucesso.
A requisição para o ID 114713870 falhou com o status code: 404
IDs retornados na página 1: 1000
IDs já registrados no banco de dados: 1419
Novos registros a serem registrados: 1
Registrando ID 118641781 (1/189) da página 2
Registrando ID 118642085 (2/189) da página 2
Registrando ID 118642293 (3/189) da página 2
Registrando ID 118642508 (4/189) da página 2
Registrando ID 118645974 (5/189) da página 2
Registrando ID 118646386 (6/189) da página 2
Registrando ID 118646743 (7/189) da página 2
Registrando ID 118646962 (8/189) da página 2
Registrando ID 118647376 (9/189) da página 2
Registrando ID 118647785 (10/189) da página 2
Registrando ID 118649342 (11/189) da página 2
Registrando ID 118650425 (12/189) da página 2
Registrando ID 118651847 (13/189) da página 2
Registrando ID 118652044 (14/189) da página 2
Registrando ID 118653217 (15/189) da página 2
Registrando ID 118659637 (16/189) da página 2
Registrando ID 118660157 (17/189) da página 2
Registrando ID 118664157 (18/189) da página 2
Registrando ID 118664920 (19/189) da página 2
Registrando ID 118665475 (20/189) da página 2
Registrando ID 118665708 (21/189) da página 2
Registrando ID 118666719 (22/189) da página 2
Registrando ID 118673908 (23/189) da página 2
Registrando ID 118674069 (24/189) da página 2
Registrando ID 118674780 (25/189) da página 2
Registrando ID 118683266 (26/189) da página 2
Registrando ID 118687191 (27/189) da página 2
Registrando ID 118688701 (28/189) da página 2
Registrando ID 118688985 (29/189) da página 2
Registrando ID 118707461 (30/189) da página 2
Registrando ID 118707597 (31/189) da página 2
Registrando ID 118707681 (32/189) da página 2
Registrando ID 118707790 (33/189) da página 2
Registrando ID 118707975 (34/189) da página 2
Registrando ID 118708043 (35/189) da página 2
Registrando ID 118708286 (36/189) da página 2
Registrando ID 118712910 (37/189) da página 2
Registrando ID 118715386 (38/189) da página 2
Registrando ID 118717337 (39/189) da página 2
Registrando ID 118717499 (40/189) da página 2
Registrando ID 118730115 (41/189) da página 2
Registrando ID 118730837 (42/189) da página 2
Registrando ID 118730889 (43/189) da página 2
Registrando ID 118730997 (44/189) da página 2
Registrando ID 118731173 (45/189) da página 2
